,A,B,C,D,target
0,0.047343135,0.3849738,0.36563134,0.20205174386501312,1
1,0.055009242,0.64654636,0.2585221,0.039922308176755905,1
2,0.060614374,0.41999245,0.4438196,0.07557354867458344,1
3,0.06081567,0.60040504,0.26767364,0.07110559940338135,1
4,0.06425501,0.4551158,0.41738153,0.06324763596057892,1
5,0.06623894,0.31389982,0.41093487,0.20892640948295593,1
6,0.06737598,0.22501297,0.6246708,0.0829402506351471,1
7,0.06772751,0.6097842,0.20554432,0.11694394052028656,1
8,0.0680521,0.58731306,0.28510046,0.05953439325094223,1
9,0.06816444,0.66807586,0.22638465,0.037375014275312424,1
10,0.068661496,0.14530243,0.6189833,0.16705280542373657,1
11,0.06955788,0.57536554,0.2880685,0.0670081228017807,1
12,0.07240284,0.2985639,0.47725326,0.15177999436855316,1
13,0.07706572,0.16790047,0.6463349,0.10869893431663513,1
14,0.07944607,0.5183045,0.30449754,0.09775187820196152,1
15,0.08133686,0.5772409,0.22188547,0.11953677237033844,1
16,0.0836524,0.18299559,0.6292942,0.10405778884887695,1
17,0.084443524,0.19645002,0.57716155,0.14194491505622864,1
18,0.085288286,0.28026685,0.571668,0.06277680397033691,1
19,0.085840575,0.29003298,0.60082287,0.02330353483557701,1
20,0.08671573,0.28110197,0.25971666,0.3724656105041504,1
21,0.087399974,0.57986015,0.26048514,0.07225470244884491,1
22,0.08745625,0.20215762,0.690994,0.019392164424061775,1
23,0.08861991,0.35130298,0.44403666,0.11604046821594238,1
24,0.08934505,0.6429068,0.17304057,0.09470758587121964,1
25,0.089600265,0.83715785,0.057140037,0.01610182411968708,1
26,0.090576515,0.5794482,0.24986388,0.08011140674352646,1
27,0.09093282,0.4904386,0.3943599,0.02426871657371521,1
28,0.0918444,0.29924703,0.49532658,0.11358201503753662,1
29,0.09189392,0.38610756,0.44167164,0.0803268700838089,1
30,0.0921857,0.3385338,0.42801473,0.14126580953598022,1
31,0.09281667,0.3565586,0.48401058,0.06661418825387955,1
32,0.09345137,0.49981126,0.37674654,0.029990801587700844,1
33,0.0937445,0.36237904,0.49204946,0.051826994866132736,1
34,0.094182506,0.49549723,0.37406123,0.03625901788473129,1
35,0.09573239,0.4198251,0.45869216,0.025750383734703064,1
36,0.0977259,0.66706395,0.13006867,0.10514146834611893,1
37,0.10084018,0.3172343,0.49231505,0.08961043506860733,1
38,0.10102735,0.73809534,0.08061898,0.0802583321928978,1
39,0.10151885,0.7211017,0.12689805,0.05048142746090889,1
40,0.10168358,0.72647953,0.05956414,0.112272709608078,1
41,0.10277837,0.32466072,0.53002,0.04254092276096344,1
42,0.10486903,0.44567245,0.4267147,0.0227438285946846,1
43,0.1058024,0.37459177,0.39535376,0.12425205856561661,1
44,0.10593038,0.59462297,0.15725225,0.14219442009925842,1
45,0.10716997,0.2907476,0.23178564,0.37029677629470825,1
46,0.107198454,0.5517375,0.23167512,0.10938892513513565,1
47,0.10808615,0.12219955,0.29262283,0.477091521024704,1
48,0.108488694,0.36005342,0.46204963,0.06940826028585434,1
49,0.110398486,0.24864176,0.4784186,0.1625412106513977,1
50,0.11169948,0.5814456,0.15325722,0.15359777212142944,1
51,0.112844996,0.7581553,0.08729912,0.04170062020421028,1
52,0.113466494,0.43529707,0.35010484,0.1011316105723381,1
53,0.113888755,0.6737779,0.16430567,0.04802772030234337,1
54,0.11487711,0.54676646,0.18631786,0.1520385891199112,1
55,0.11538589,0.61887467,0.22683802,0.038901444524526596,1
56,0.11556902,0.4327535,0.2823905,0.16928696632385254,1
